run_id,samples,n_episodes,Neg Q
0,2995,15000,0.0093
0,2995,20000,0.007
0,2995,25000,0.011
1,2995,15000,0.0067
1,2995,20000,0.008
1,2995,25000,0.0077
2,2995,15000,0.0047
2,2995,20000,0.007
2,2995,25000,0.006
3,2995,15000,0.0043
3,2995,20000,0.004
3,2995,25000,0.005
4,2995,15000,0.0087
4,2995,20000,0.009
4,2995,25000,0.0104
5,2995,15000,0.0093
5,2995,20000,0.006
5,2995,25000,0.0043
6,2995,15000,0.0093
6,2995,20000,0.0067
6,2995,25000,0.007
7,2995,15000,0.0067
7,2995,20000,0.0047
7,2995,25000,0.0053
8,2995,15000,0.0067
8,2995,20000,0.0083
8,2995,25000,0.006
9,2995,15000,0.0067
9,2995,20000,0.0067
9,2995,25000,0.0067
10,2995,15000,0.0077
10,2995,20000,0.0087
10,2995,25000,0.008
11,2995,15000,0.0067
11,2995,20000,0.0023
11,2995,25000,0.0107
12,2995,15000,0.0047
12,2995,20000,0.006
12,2995,25000,0.0083
13,2995,15000,0.0033
13,2995,20000,0.0087
13,2995,25000,0.0087
14,2995,15000,0.0093
14,2995,20000,0.0057
14,2995,25000,0.004
15,2995,15000,0.0093
15,2995,20000,0.0047
15,2995,25000,0.0093
16,2995,15000,0.0077
16,2995,20000,0.0087
16,2995,25000,0.0073
17,2995,15000,0.0073
17,2995,20000,0.008
17,2995,25000,0.0033
18,2995,15000,0.0093
18,2995,20000,0.01
18,2995,25000,0.0043
19,2995,15000,0.0053
19,2995,20000,0.0067
19,2995,25000,0.0114
20,2995,15000,0.008
20,2995,20000,0.0097
20,2995,25000,0.007
21,2995,15000,0.0073
21,2995,20000,0.0047
21,2995,25000,0.0057
22,2995,15000,0.0107
22,2995,20000,0.0047
22,2995,25000,0.005
23,2995,15000,0.0083
23,2995,20000,0.0057
23,2995,25000,0.0057
24,2995,15000,0.005
24,2995,20000,0.005
24,2995,25000,0.0053
25,2995,15000,0.0073
25,2995,20000,0.0134
25,2995,25000,0.007
26,2995,15000,0.003
26,2995,20000,0.0087
26,2995,25000,0.0063
27,2995,15000,0.0077
27,2995,20000,0.0043
27,2995,25000,0.0057
28,2995,15000,0.0097
28,2995,20000,0.006
28,2995,25000,0.003
29,2995,15000,0.0073
29,2995,20000,0.0067
29,2995,25000,0.0037
30,2995,15000,0.0073
30,2995,20000,0.0057
30,2995,25000,0.0093
31,2995,15000,0.007
31,2995,20000,0.006
31,2995,25000,0.0063
32,2995,15000,0.0067
32,2995,20000,0.007
32,2995,25000,0.0097
33,2995,15000,0.008
33,2995,20000,0.0047
33,2995,25000,0.005
34,2995,15000,0.005
34,2995,20000,0.003
34,2995,25000,0.006
35,2995,15000,0.0077
35,2995,20000,0.0037
35,2995,25000,0.0053
36,2995,15000,0.0037
36,2995,20000,0.0023
36,2995,25000,0.0087
37,2995,15000,0.013
37,2995,20000,0.0067
37,2995,25000,0.0053
38,2995,15000,0.004
38,2995,20000,0.008
38,2995,25000,0.0057
39,2995,15000,0.0104
39,2995,20000,0.007
39,2995,25000,0.0063
40,2995,15000,0.01
40,2995,20000,0.0077
40,2995,25000,0.0087
41,2995,15000,0.0057
41,2995,20000,0.007
41,2995,25000,0.0047
42,2995,15000,0.012
42,2995,20000,0.0057
42,2995,25000,0.0077
43,2995,15000,0.0093
43,2995,20000,0.007
43,2995,25000,0.0047
44,2995,15000,0.008
44,2995,20000,0.0107
44,2995,25000,0.008
45,2995,15000,0.009
45,2995,20000,0.01
45,2995,25000,0.008
46,2995,15000,0.0057
46,2995,20000,0.008
46,2995,25000,0.0033
47,2995,15000,0.0063
47,2995,20000,0.0063
47,2995,25000,0.0093
48,2995,15000,0.0114
48,2995,20000,0.0083
48,2995,25000,0.0037
49,2995,15000,0.006
49,2995,20000,0.0083
49,2995,25000,0.0073
50,2995,15000,0.0067
50,2995,20000,0.009
50,2995,25000,0.0097
51,2995,15000,0.0057
51,2995,20000,0.0077
51,2995,25000,0.009
52,2995,15000,0.0067
52,2995,20000,0.0053
52,2995,25000,0.0053
53,2995,15000,0.0063
53,2995,20000,0.005
53,2995,25000,0.0057
54,2995,15000,0.0063
54,2995,20000,0.0097
54,2995,25000,0.008
55,2995,15000,0.0063
55,2995,20000,0.0104
55,2995,25000,0.0124
56,2995,15000,0.0047
56,2995,20000,0.0087
56,2995,25000,0.007
57,2995,15000,0.005
57,2995,20000,0.0057
57,2995,25000,0.009
58,2995,15000,0.0124
58,2995,20000,0.007
58,2995,25000,0.009
59,2995,15000,0.0073
59,2995,20000,0.0073
59,2995,25000,0.004
60,2995,15000,0.0093
60,2995,20000,0.0057
60,2995,25000,0.008
61,2995,15000,0.0093
61,2995,20000,0.0067
61,2995,25000,0.0033
62,2995,15000,0.005
62,2995,20000,0.0097
62,2995,25000,0.0057
63,2995,15000,0.006
63,2995,20000,0.0093
63,2995,25000,0.006
64,2995,15000,0.0073
64,2995,20000,0.0057
64,2995,25000,0.006
65,2995,15000,0.0037
65,2995,20000,0.0077
65,2995,25000,0.007
66,2995,15000,0.0077
66,2995,20000,0.0117
66,2995,25000,0.009
67,2995,15000,0.004
67,2995,20000,0.0077
67,2995,25000,0.0114
68,2995,15000,0.0087
68,2995,20000,0.0087
68,2995,25000,0.0043
69,2995,15000,0.0077
69,2995,20000,0.005
69,2995,25000,0.0083
70,2995,15000,0.004
70,2995,20000,0.0093
70,2995,25000,0.0073
71,2995,15000,0.0073
71,2995,20000,0.006
71,2995,25000,0.0057
72,2995,15000,0.0104
72,2995,20000,0.005
72,2995,25000,0.0037
73,2995,15000,0.01
73,2995,20000,0.008
73,2995,25000,0.0083
74,2995,15000,0.0097
74,2995,20000,0.0013
74,2995,25000,0.0073
75,2995,15000,0.0083
75,2995,20000,0.0067
75,2995,25000,0.0083
76,2995,15000,0.0087
76,2995,20000,0.011
76,2995,25000,0.0063
77,2995,15000,0.0047
77,2995,20000,0.0083
77,2995,25000,0.008
78,2995,15000,0.005
78,2995,20000,0.006
78,2995,25000,0.0077
79,2995,15000,0.0067
79,2995,20000,0.007
79,2995,25000,0.0067
80,2995,15000,0.0067
80,2995,20000,0.0067
80,2995,25000,0.005
81,2995,15000,0.0107
81,2995,20000,0.009
81,2995,25000,0.006
82,2995,15000,0.0107
82,2995,20000,0.0067
82,2995,25000,0.007
83,2995,15000,0.011
83,2995,20000,0.006
83,2995,25000,0.0063
84,2995,15000,0.003
84,2995,20000,0.0107
84,2995,25000,0.0097
85,2995,15000,0.0037
85,2995,20000,0.01
85,2995,25000,0.0067
86,2995,15000,0.0073
86,2995,20000,0.005
86,2995,25000,0.0077
87,2995,15000,0.008
87,2995,20000,0.0063
87,2995,25000,0.009
88,2995,15000,0.0077
88,2995,20000,0.0077
88,2995,25000,0.0107
89,2995,15000,0.007
89,2995,20000,0.0057
89,2995,25000,0.0087
90,2995,15000,0.008
90,2995,20000,0.0093
90,2995,25000,0.0083
91,2995,15000,0.0083
91,2995,20000,0.0097
91,2995,25000,0.0057
92,2995,15000,0.0033
92,2995,20000,0.0077
92,2995,25000,0.006
93,2995,15000,0.0104
93,2995,20000,0.0033
93,2995,25000,0.0067
94,2995,15000,0.0083
94,2995,20000,0.007
94,2995,25000,0.0097
95,2995,15000,0.0104
95,2995,20000,0.006
95,2995,25000,0.0097
96,2995,15000,0.0087
96,2995,20000,0.0047
96,2995,25000,0.0043
97,2995,15000,0.0047
97,2995,20000,0.0087
97,2995,25000,0.0047
98,2995,15000,0.0033
98,2995,20000,0.0067
98,2995,25000,0.0093
99,2995,15000,0.0087
99,2995,20000,0.007
99,2995,25000,0.0107
